ID,x,y,z
0,0.0,0.0,0.0
1,4.0,5663.0,0.0
2,6.0,4812.0,0.0
3,6.0,8348.0,0.0
4,7.0,5426.0,0.0
5,7.0,7980.0,0.0
6,7.0,989.0,0.0
7,7.0,4120.0,0.0
8,7.0,8766.0,0.0
9,8.0,8663.0,0.0
10,8.0,9353.0,0.0
11,8.0,8484.0,0.0
12,9.0,7007.0,0.0
13,9.0,8627.0,0.0
14,9.0,9177.0,0.0
15,9.0,7371.0,0.0
16,9.0,8919.0,0.0
17,9.0,4172.0,0.0
18,9.0,7186.0,0.0
19,10.0,9206.0,0.0
20,10.0,2795.0,0.0
21,10.0,2219.0,0.0
22,10.0,1843.0,0.0
23,10.0,3127.0,0.0
24,10.0,8940.0,0.0
25,10.0,5067.0,0.0
26,11.0,4958.0,0.0
27,11.0,810.0,0.0
28,12.0,5867.0,0.0
29,13.0,5215.0,0.0
30,13.0,779.0,0.0
31,13.0,1726.0,0.0
32,13.0,5916.0,0.0
33,13.0,6507.0,0.0
34,13.0,5948.0,0.0
35,13.0,3198.0,0.0
36,14.0,5526.0,0.0
37,14.0,7623.0,0.0
38,14.0,972.0,0.0
39,15.0,8745.0,0.0
40,15.0,6791.0,0.0
41,16.0,8860.0,0.0
42,16.0,5719.0,0.0
43,17.0,2379.0,0.0
44,18.0,7930.0,0.0
45,18.0,3236.0,0.0
46,19.0,5553.0,0.0
47,19.0,1294.0,0.0
48,19.0,7687.0,0.0
49,20.0,8153.0,0.0
50,20.0,4834.0,0.0
51,20.0,9473.0,0.0
52,21.0,4247.0,0.0
53,21.0,5824.0,0.0
54,21.0,988.0,0.0
55,21.0,4132.0,0.0
56,21.0,4158.0,0.0
57,21.0,9451.0,0.0
58,22.0,4509.0,0.0
59,22.0,850.0,0.0
60,22.0,4527.0,0.0
61,23.0,897.0,0.0
62,23.0,2941.0,0.0
63,23.0,7496.0,0.0
64,24.0,5039.0,0.0
65,24.0,7752.0,0.0
66,24.0,8270.0,0.0
67,24.0,3371.0,0.0
68,24.0,4472.0,0.0
69,25.0,7147.0,0.0
70,25.0,5669.0,0.0
71,26.0,8776.0,0.0
72,26.0,5894.0,0.0
73,27.0,8228.0,0.0
74,27.0,1870.0,0.0
75,27.0,1819.0,0.0
76,27.0,5436.0,0.0
77,27.0,7778.0,0.0
78,27.0,1634.0,0.0
79,28.0,9254.0,0.0
80,28.0,2457.0,0.0
81,29.0,9097.0,0.0
82,29.0,678.0,0.0
83,29.0,3126.0,0.0
84,29.0,789.0,0.0
85,30.0,3055.0,0.0
86,31.0,9590.0,0.0
87,31.0,5929.0,0.0
88,31.0,8834.0,0.0
89,32.0,7175.0,0.0
90,32.0,8335.0,0.0
91,32.0,1031.0,0.0
92,32.0,4274.0,0.0
93,33.0,4107.0,0.0
94,34.0,4202.0,0.0
95,34.0,7595.0,0.0
96,35.0,728.0,0.0
97,35.0,5224.0,0.0
98,37.0,5882.0,0.0
99,37.0,3410.0,0.0
100,37.0,4607.0,0.0
101,38.0,5500.0,0.0
102,38.0,3947.0,0.0
103,39.0,8030.0,0.0
104,39.0,4806.0,0.0
105,40.0,7236.0,0.0
106,40.0,5385.0,0.0
107,41.0,5950.0,0.0
108,41.0,6507.0,0.0
109,41.0,8967.0,0.0
110,41.0,4541.0,0.0
111,42.0,4030.0,0.0
112,43.0,3341.0,0.0
113,43.0,8005.0,0.0
114,43.0,9460.0,0.0
115,43.0,7471.0,0.0
116,44.0,3165.0,0.0
117,45.0,1857.0,0.0
118,45.0,8870.0,0.0
119,46.0,2693.0,0.0
120,47.0,8058.0,0.0
121,47.0,8185.0,0.0
122,47.0,5572.0,0.0
123,47.0,8905.0,0.0
124,48.0,6448.0,0.0
125,49.0,5724.0,0.0
126,49.0,6987.0,0.0
127,50.0,9586.0,0.0
128,51.0,5867.0,0.0
129,51.0,2416.0,0.0
130,51.0,6228.0,0.0
131,51.0,4175.0,0.0
132,52.0,3897.0,0.0
133,52.0,8824.0,0.0
134,52.0,5441.0,0.0
135,53.0,6379.0,0.0
136,53.0,7851.0,0.0
137,53.0,4147.0,0.0
138,54.0,6176.0,0.0
